danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,qual
0.617,0.482,0,-5.121,1,0.0322,0.204,0,0.216,0.508,81.73,spotify:track:6W4DY8jGf8POlFsMQhR2E6,253084,4,0
0.636,0.784,2,-6.01,1,0.0454,0.00766,0.0000107,0.0806,0.613,96.996,spotify:track:0ya80Qhw7hgeJp2L6zvxcj,207053,4,0
0.582,0.568,1,-6.051,1,0.0297,0.196,0,0.0841,0.64,76.025,spotify:track:3T6MAweakkNrMYs8jZIWtg,207187,4,0
0.588,0.408,3,-8.662,1,0.0237,0.113,0,0.13,0.484,85.008,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,205453,4,0
0.603,0.872,6,-3.563,1,0.0487,0.102,0,0.0505,0.594,94.008,spotify:track:52K3RIVDetSuZPzcTmIVoY,188013,4,0
0.677,0.556,9,-6.544,1,0.0306,0.263,0,0.105,0.521,80.009,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,179507,4,0
0.504,0.472,9,-6.925,1,0.0404,0.54,0,0.306,0.313,73.521,spotify:track:4pYd8dIohiqc3KsxSRqf0w,216993,4,0
0.555,0.722,11,-6.005,1,0.034,0.119,0,0.0861,0.559,134.058,spotify:track:6RSNKGdv3nDTHqgw4bdzyF,216960,4,0
0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,spotify:track:10Igtw8bSDyyFs7KIsKngZ,216632,4,0
0.777,0.657,1,-6.434,1,0.237,0.000738,0.00000334,0.0932,0.245,189.992,spotify:track:739vCwA3EpBSkk3uDsI2wB,226107,4,0
0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,spotify:track:45Egmo7icyopuzJN0oMEdk,201707,4,0
0.748,0.546,8,-8.134,1,0.106,0.59,0,0.112,0.413,140.005,spotify:track:7wrDRQgHlvDnimrRHfQZxt,220880,4,0
0.635,0.9,0,-3.719,0,0.0377,0.00664,0.0145,0.37,0.15,127.978,spotify:track:6RnkFd8Fqqgk1Uni8RgqCQ,202500,4,0
0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,spotify:track:08bNPGLD8AhKpnnERrAc6G,202621,4,0
0.804,0.823,11,-3.496,0,0.147,0.00523,0.00000277,0.168,0.619,98.026,spotify:track:6y68QK2SwC38YxsbxHrA8I,199945,4,0
0.758,0.448,7,-9.441,1,0.103,0.0309,0.0000867,0.558,0.373,77.176,spotify:track:2XW4DbS6NddZxRPm5rMCeY,198960,4,0
0.471,0.755,11,-6.612,0,0.0455,0.00836,0,0.368,0.512,154.801,spotify:track:3pIigjAWkzwAonXpJ1fmSF,224027,4,0
0.818,0.563,2,-8.096,1,0.398,0.0253,0,0.0909,0.486,152.108,spotify:track:6J3YPOejivwLSjM2dru5Ad,210675,4,0
0.882,0.503,11,-6.618,1,0.179,0.224,0,0.108,0.176,95.011,spotify:track:0gD6lWJhbXHWNVwQziSVvl,175511,4,0
0.68,0.738,6,-4.881,0,0.0331,0.173,0.00036,0.37,0.675,105.015,spotify:track:4v0CuFW0bEMBQ1gRn2mB3X,190720,4,0
0.58,0.531,5,-6.631,0,0.0776,0.128,0.000127,0.143,0.141,159.786,spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,218320,4,0
0.868,0.752,1,-6.786,1,0.0667,0.00189,0.0000169,0.142,0.874,149.987,spotify:track:3s3VVLE1kB7Xk2AoJKlGmr,217560,4,0
0.671,0.834,1,-3.928,0,0.0885,0.0387,0,0.454,0.454,113.021,spotify:track:1HagMz5nWk1HmevNCBOxF3,190921,4,0
0.676,0.775,0,-6.369,0,0.168,0.0264,0,0.123,0.402,104.913,spotify:track:67BEhVyQPe661gMYUyEhLw,171000,4,0
0.755,0.536,8,-5.605,1,0.12,0.114,0,0.0282,0.882,138.969,spotify:track:33KJ2xFYONOlIYDBg6wPx8,198040,4,0
0.907,0.61,1,-6.716,1,0.0886,0.407,0.00000306,0.129,0.963,112.011,spotify:track:3gsOAmZ9E4XlyQvzIKJT8d,195960,4,0
0.839,0.902,1,-3.612,0,0.0536,0.0868,0.00257,0.272,0.639,114.953,spotify:track:42tFTth2jcF7iSo0RBjfJF,189050,4,0
0.749,0.85,0,-4.346,1,0.0468,0.0319,0.0000481,0.0678,0.672,145.983,spotify:track:5EzitieoPnjyKHAq0gfRMa,190423,4,0
0.661,0.725,6,-4.859,1,0.0563,0.0253,0,0.123,0.605,119.927,spotify:track:18W92Zm1KjLCbUIszOhpkD,197939,4,0
0.716,0.805,4,-3.839,1,0.0856,0.014,0.0000031,0.291,0.719,142.886,spotify:track:6tHWl8ows5JOZq9Yfaqn3M,133995,4,0
0.573,0.688,6,-7.303,1,0.0372,0.0312,0,0.0962,0.189,110.739,spotify:track:7rKCmo4SZhKubupJdsuM5S,331125,4,0
0.755,0.649,5,-7.573,0,0.0303,0.0928,0.000177,0.0939,0.734,104.022,spotify:track:7uvDJFly0TCWWsK48NI1fx,226120,4,0
